Code,Name,
ANK001,ANKARA (JY),
ANL001,ANGEL (ANGELS BRING LOVE LTD),
ANL002,ABSOLUTE NUTRITION LTD,
ANN001,ANNA NIELSON,
ANN002,ANNA BANANA,
ANN003,ANNIE MODICA,
ANN004,ANNE-CLAIRE PETIT,
ANN005,ANNA LOU OF LONDON LTD (JY),
ANN006,ANNE OLEARY,
ANN007,ANNAGEE LTD (JY),
ANN008,ANNANOVA,
ANN009,ANNE GHEZ,
ANN010,Annabelle Walker (JY),
ANN011,ANN BYRNE KNITWEAR PRODUCTION,
ANO001,ANON DESIGN & PUBLISHING,
ANO002,ANOTECH INTERNATIONAL UK,
ANO003,ANONYMOUS COPENHAGEN,
ANPOST,AN POST,
ANS001,ANSARI,
ANS002,ANTHONY STEWART,
ANT001,ANTIQUES,
ANT002,ANTHONY NICHOLAS GROUP(JEWELLE,
ANT003,ANTICLINE CREATIONS,
ANT004,ANTONIO MATTEI & DESEO,
ANW001,ANOTHER WOMAN,
ANY001,ANYSLEY CHINA,
ANZ001,ANZ LTD,
AOC001,AOC INTERNATIONAL,
AOT001,AVRIL OTOOLE,
AOY001,ALISO BEAUTY LIMITED,
APH001,APHRODITE COLLECTION(JY),
API001,APICARE,
API002,APITHERAPY,
APL001,ALANDRA PRODUCTS LTD,
APL002,APITHERAPY,
APO001,APOLLO (FOOD),
APO124,APOLLO HOUSEWARES,
APP001,APPLE,
APP002,APPAMAN,
APP003,APPROACH TRADE (WINE),
APP004,APPLE & BEE,
APP005,APPELLATIONS DORIGINE CONTEMP,
APR001,AURTHUR PRICE,
APR002,APRES APPAREL LTD,
APS001,ARTPRESS PUB LTD,
APT001,APPLETREE PRESS,
APT002,APTA POTS,
AQU001,AQUANOVA,
AQU002,A QUARTER OF LTD,
ARA001,ARAN AROMATICS,
ARA002,ARAN CANDY CO LTD,
ARA003,ARAMIS DECOR,
ARA004,ARAN WOOLLEN MILLS,
ARC001,ARCO (do not use),
ARC002,ARCHERS CRISPS,
ARC003,ARCO - TRUE GRACE,
ARC004,ARCO-IRIS,
